serial_number,site_id,timestamp,ac_voltage,ac_frequency,temperature_f,dc_current,dc_voltage,duration,energy_produced,sku_name
849663637755,SITE-A,2025-06-01 06:00:00,237.5,59.971,80.9,0.75,30.7,900,1.98,IQ8M-72-2-US
290477696309,SITE-A,2025-06-01 06:00:00,241.8,60.016,77.8,-0.0,33.8,900,3.3,IQ8A-72-2-US
254024509602,SITE-A,2025-06-01 06:00:00,242.1,60.018,80.0,0.92,33.9,900,3.58,IQ8H-72-2-US
468551387033,SITE-A,2025-06-01 06:00:00,238.0,59.977,83.1,0.28,31.2,900,2.81,IQ8M-72-2-US
275186084697,SITE-A,2025-06-01 06:00:00,239.0,60.008,83.2,0.16,33.5,900,4.8,IQ8A-72-2-US
555940203440,SITE-A,2025-06-01 06:00:00,242.5,59.968,78.1,0.56,32.9,900,3.61,IQ8H-72-2-US
200257463750,SITE-A,2025-06-01 06:00:00,239.7,60.023,82.7,0.23,30.8,900,3.23,IQ8M-72-2-US
960300581088,SITE-A,2025-06-01 06:00:00,240.8,60.029,81.0,0.15,31.0,900,2.49,IQ8A-72-2-US
237322529830,SITE-A,2025-06-01 06:00:00,242.0,59.991,78.2,0.18,31.3,900,5.06,IQ8H-72-2-US
446550091180,SITE-A,2025-06-01 06:00:00,242.2,60.015,82.9,0.11,33.3,900,2.38,IQ8M-72-2-US
266083008710,SITE-B,2025-06-01 06:00:00,240.5,60.025,81.4,0.43,31.2,900,4.07,IQ8M-72-2-US
397812891304,SITE-B,2025-06-01 06:00:00,241.5,60.044,76.8,1.02,32.0,900,2.59,IQ8A-72-2-US
313091196685,SITE-B,2025-06-01 06:00:00,239.5,60.049,75.2,0.86,31.9,900,3.18,IQ8H-72-2-US
498151691878,SITE-B,2025-06-01 06:00:00,238.6,59.952,75.4,0.68,32.6,900,6.38,IQ8M-72-2-US
290102125438,SITE-B,2025-06-01 06:00:00,239.9,60.043,83.9,0.11,31.1,900,3.35,IQ8A-72-2-US
102556954434,SITE-B,2025-06-01 06:00:00,242.8,59.954,80.6,0.24,30.3,900,6.53,IQ8H-72-2-US
508358054262,SITE-B,2025-06-01 06:00:00,242.4,60.031,84.6,0.63,33.3,900,5.5,IQ8M-72-2-US
393310474099,SITE-B,2025-06-01 06:00:00,243.0,59.999,75.8,0.98,31.4,900,2.71,IQ8A-72-2-US
229696768464,SITE-B,2025-06-01 06:00:00,237.4,60.008,82.7,0.63,31.7,900,4.47,IQ8H-72-2-US
447536738264,SITE-B,2025-06-01 06:00:00,242.7,59.95,82.8,0.79,32.4,900,2.89,IQ8M-72-2-US
293535683746,SITE-C,2025-06-01 06:00:00,238.5,59.987,79.2,1.12,30.3,900,5.31,IQ8M-72-2-US
684592429975,SITE-C,2025-06-01 06:00:00,241.4,59.975,83.1,0.72,33.2,900,3.28,IQ8A-72-2-US
952320639367,SITE-C,2025-06-01 06:00:00,241.5,59.96,81.9,0.27,31.6,900,5.08,IQ8H-72-2-US
829915210270,SITE-C,2025-06-01 06:00:00,242.5,60.025,84.5,0.98,30.3,900,2.09,IQ8M-72-2-US
513997473986,SITE-C,2025-06-01 06:00:00,237.7,60.028,79.9,0.97,30.7,900,4.93,IQ8A-72-2-US
